restaurant_name,city,cuisines,average_cost_for_two,aggregate_rating,votes
Nagi Fish Corner,New Delhi,North Indian,250,3.1,7
Nirula'S Ice Cream,New Delhi,"Desserts, Ice Cream",250,3.0,4
Papa Veg Chinese Food,New Delhi,"Chinese, Fast Food",400,2.9,33
Pindi'S Kitchen,New Delhi,Mughlai,450,3.3,11
Rewari Sweets,New Delhi,Mithai,400,3.2,5
Roti Aur Boti,New Delhi,Fast Food,100,3.2,38
Sahni Chicken Corner,New Delhi,"North Indian, Mughlai",500,3.2,23
Sarpal Restaurant,New Delhi,"North Indian, Mughlai",550,3.1,14
Sgf - Spice Grill Flame,New Delhi,"North Indian, Chinese",500,2.9,8
Shanta Fresh Fish Corner,New Delhi,North Indian,400,3.1,9
Shree Meenakshi Dosai,New Delhi,South Indian,250,2.9,8
Singz,New Delhi,"North Indian, Chinese",600,2.9,57
Sona Bakers,New Delhi,Bakery,200,3.4,17
Tak - A - Tak,New Delhi,North Indian,300,3.3,14
The Great Indian Food Truck,New Delhi,"Chinese, Mexican, Italian",250,3.0,6
Tihar Food Court,New Delhi,Fast Food,300,2.9,14
Uncle Da Dhabha,New Delhi,North Indian,200,3.0,6
Variety Chicken Corner,New Delhi,North Indian,450,2.9,16
Wah Ji Wah,New Delhi,"Mughlai, Chinese",450,2.5,9
9 Scoops,New Delhi,Ice Cream,300,3.6,33
Kati Roll Cottage,New Delhi,Fast Food,200,3.5,14
Pul Bangash Wale,New Delhi,"North Indian, Mughlai",300,3.7,89
Sunny Chicken Soup,New Delhi,North Indian,200,3.6,75
Yo Momos,New Delhi,"Chinese, North Indian",300,3.7,29
Bikaner Sweets,New Delhi,"Chinese, Mithai",200,0.0,1
Bittoo Murge Wala,New Delhi,North Indian,300,0.0,1
Jalebi Wala,New Delhi,Desserts,100,0.0,2
Just Parkash,New Delhi,Chinese,350,0.0,2
Kwality Sweet Corner,New Delhi,"Chinese, Mithai",200,0.0,3
Mohan Chaat Corner,New Delhi,"North Indian, Chinese",200,0.0,1
Mr. Momo,New Delhi,"Fast Food, Chinese",350,0.0,1
Pishori Chicken Corner,New Delhi,"Mughlai, Fast Food",350,0.0,1
Punjab Patiyala Sahi,New Delhi,"Mughlai, North Indian",350,0.0,1
Shama Chicken Corner,New Delhi,"Biryani, Mughlai",300,0.0,3
Wah G Wah,New Delhi,"North Indian, Chinese",450,0.0,2
Grillz,New Delhi,Fast Food,500,2.2,19
The Barbeque Company,New Delhi,"North Indian, Chinese, Continental",1200,4.2,621
Anmol Chicken Corner,New Delhi,North Indian,400,3.1,7
Babu Bhai Kabab Wale,New Delhi,Mughlai,200,3.4,12
Chicken Mughlai,New Delhi,"North Indian, Mughlai",350,3.0,6
Cool Point Shahi Tukda,New Delhi,"Desserts, Beverages",100,3.1,5
Jawahar Hotel,New Delhi,"North Indian, Mughlai",500,3.4,40
Lalu Kababe,New Delhi,Mughlai,200,3.2,13
Phelwan Biryani Wala,New Delhi,Mughlai,150,3.0,5
Qureshi Kabab Corner,New Delhi,Mughlai,300,3.0,5
Al Jawahar,New Delhi,"Mughlai, North Indian",600,3.8,1585
Aslam Chicken,New Delhi,Mughlai,400,3.9,635
Dil Pasand Biryani Point,New Delhi,Biryani,200,3.5,12
Haji Mohd. Hussain,New Delhi,Mughlai,300,3.6,22
Kallan Sweets,New Delhi,Mithai,100,3.8,75
The Walled City - Cafн© & Lounge,New Delhi,"Continental, North Indian, Mughlai, Chinese",700,3.8,40
Al-Nawab,New Delhi,Mughlai,300,0.0,0
Ameer Sweets House,New Delhi,"Mithai, Street Food",100,0.0,3
Anwar Food Corner,New Delhi,Mughlai,600,0.0,3
Fish Point,New Delhi,North Indian,200,0.0,2
Golden Bakery,New Delhi,Bakery,100,0.0,1
Hotel Maidah,New Delhi,"North Indian, Mughlai",400,0.0,2
Lahori Food,New Delhi,North Indian,400,0.0,0
Majlis Foods,New Delhi,North Indian,400,0.0,0
Cool Point,New Delhi,"Desserts, Beverages",100,4.2,69
Haji Shabrati Nihari Wale,New Delhi,Mughlai,200,4.0,115
Karim'S,New Delhi,"Mughlai, North Indian",800,4.0,4689
Qureshi Kabab Corner,New Delhi,Mughlai,200,4.3,76
Bake Bikaner,New Delhi,"North Indian, South Indian, Chinese, Street Food",500,3.3,86
Barista,New Delhi,Cafe,650,3.3,74
Behrouz Biryani,New Delhi,Biryani,600,3.4,49
Brunchilli,New Delhi,"North Indian, Chinese",800,3.2,84
Cafe Coffee Day,New Delhi,Cafe,450,3.4,50
Chawla Dillivala,New Delhi,"North Indian, Chinese",600,2.7,91
Dhaba Ambarsariya,New Delhi,"North Indian, Chinese",700,3.3,23
Domino'S Pizza,New Delhi,"Pizza, Fast Food",700,3.4,88
Gpw - The Food Hub,New Delhi,"North Indian, Chinese",400,3.0,70
Green Bhojanalya,New Delhi,North Indian,400,3.2,96
Hira Sweets,New Delhi,"North Indian, South Indian, Street Food, Fast Food, Mithai",600,2.5,85
Hot Curries,New Delhi,"North Indian, Mughlai, Chinese",700,3.4,60
Meenu Caterers,New Delhi,"North Indian, Chinese",600,2.7,82
Moti Mahal Delux,New Delhi,"North Indian, Mughlai, Chinese",1000,2.6,105
New Kadimi,New Delhi,"North Indian, South Indian, Chinese, Fast Food",600,2.5,162
Polka Pastry & Snack Bar,New Delhi,"Bakery, Fast Food",350,3.2,62
Pudding & Pie,New Delhi,"Bakery, Fast Food",450,3.4,66
Singz,New Delhi,"North Indian, Chinese",700,2.5,46
Slice Of Italy,New Delhi,"Italian, Pizza, Bakery",700,3.4,198
Subway,New Delhi,"American, Fast Food, Salad, Healthy Food",500,3.1,69
Suruchee,New Delhi,"Bengali, North Indian",500,3.4,52
The Bubble Tea Cafe,New Delhi,Cafe,600,3.0,182
The Destination,New Delhi,"Chinese, Mughlai",1400,3.3,85
The Night Delights,New Delhi,"North Indian, Chinese",800,3.4,102
Tingling Pepper,New Delhi,"North Indian, Chinese, Continental, Fast Food",400,3.4,69
Wah G Wah,New Delhi,"North Indian, Chinese",450,2.7,37
Midnight Hunger Hub,New Delhi,"North Indian, Fast Food, Italian, Asian",800,4.5,50
Barshala,New Delhi,Finger Food,600,3.5,40
Bemisaal Reloaded,New Delhi,"North Indian, Chinese",1250,3.8,128
Bon Appн©Tit,New Delhi,Fast Food,350,3.8,212
Burger Point,New Delhi,"Burger, Fast Food",300,3.6,164
Cakes 'N' Crumbs,New Delhi,Bakery,400,3.6,70
China Fort,New Delhi,"Chinese, North Indian, Thai",700,3.5,74
Giani,New Delhi,"Ice Cream, Desserts",400,3.5,33
Hot Cherries,New Delhi,Bakery,400,3.6,116
Kfc,New Delhi,"American, Fast Food",500,3.5,62
Mcdonald'S,New Delhi,"Fast Food, Burger",500,3.6,179
Pasta Xpress,New Delhi,"Italian, Fast Food",700,3.6,56
Tandoor Bar-Be-Que,New Delhi,"North Indian, Mughlai",600,3.5,131
Tbk Kulcha'S,New Delhi,"Fast Food, Street Food",300,3.6,155
The Pindi,New Delhi,"North Indian, Chinese, Mughlai",1300,3.5,100
The Tangy Tomatoes,New Delhi,"Italian, Chinese, Fast Food, North Indian",400,3.7,32
Thela,New Delhi,"North Indian, Fast Food, Chinese",500,3.5,87
Wah Ji Wah,New Delhi,"North Indian, Chinese",450,3.7,61
Muffins,New Delhi,"Bakery, Fast Food",250,1.9,66
Food Scouts,New Delhi,"North Indian, Chinese, Continental",700,4.3,22
Aggarwal Sweet India,New Delhi,"Mithai, Street Food",150,2.8,15
Bhola Dhaba,New Delhi,North Indian,300,2.8,30
Cake Me Up,New Delhi,Bakery,400,3.1,7
Chawla Snacks,New Delhi,North Indian,250,2.9,4
Chef Joint,New Delhi,"North Indian, Chinese",400,3.2,45
China Hut,New Delhi,Chinese,400,3.0,16
Chinese Hut,New Delhi,"Chinese, Fast Food",450,2.8,5
Curries & Kebabs,New Delhi,"North Indian, Mughlai, Chinese",500,2.7,7
Giani'S,New Delhi,"Ice Cream, Desserts",400,3.1,9
Green Chick Chop,New Delhi,"Raw Meats, North Indian, Fast Food",350,3.1,15
Kabul Restaurant,New Delhi,"Mughlai, Afghani",450,2.8,25
Kadimi Dukan,New Delhi,"Street Food, Mithai",200,3.2,10
Kadimi Sweets,New Delhi,"Mithai, Street Food",200,3.1,42
Mcdonald'S,New Delhi,"Fast Food, Burger",500,3.4,62
Modi Pastry Corner,New Delhi,"Bakery, Fast Food",100,2.6,17
New Evergreen Hotel,New Delhi,"North Indian, Mughlai",450,2.9,7
Nikku Hotel,New Delhi,"North Indian, Chinese, Fast Food",500,2.6,9
Om Hotel,New Delhi,"North Indian, Mughlai, South Indian",600,3.3,140
Pakeeza Burger,New Delhi,"North Indian, Afghani",600,2.6,15
Paljees Fresh Baked,New Delhi,"Bakery, Desserts, Fast Food",200,3.1,16
Pinka'S Rasoi,New Delhi,North Indian,500,3.1,21
Republic Of Chicken,New Delhi,"Raw Meats, Fast Food",400,2.8,5
Sandwich & Sons,New Delhi,Fast Food,500,3.2,24
Simple Restaurant,New Delhi,"North Indian, Chinese",500,3.0,15
Subway,New Delhi,"American, Fast Food, Salad, Healthy Food",500,3.3,78
Tempting Bar-B-Que,New Delhi,"North Indian, Chinese",650,3.3,29
The Biryani Hut,New Delhi,Biryani,400,2.9,5
Beliram Degchiwala,New Delhi,"North Indian, Mughlai",900,3.5,107
Instapizza,New Delhi,"Pizza, Fast Food",900,3.9,55
Janta Bakery,New Delhi,"Bakery, Fast Food",150,3.6,32
Pal Refreshment Corner,New Delhi,"North Indian, Chinese",500,3.5,32
Transform Nutrition,New Delhi,"Healthy Food, Continental",400,3.5,19
Bhashi Caterers,New Delhi,North Indian,600,0.0,3
Birbal Ji Dhaba,New Delhi,North Indian,350,0.0,1
Chaap Express,New Delhi,North Indian,300,0.0,2
Daawat-E-Mehak,New Delhi,"North Indian, Mughlai, Chinese",350,0.0,0
Delhi Biryani Hut,New Delhi,Mughlai,300,0.0,0
K. B. Eating Point,New Delhi,"Chinese, South Indian",250,0.0,0
Kashmiri Wazwan,New Delhi,Kashmiri,250,0.0,1
Maan Singh Halwai,New Delhi,Mithai,100,0.0,0
Mughlai Darbar Muradabadi,New Delhi,Mughlai,300,0.0,0
P.S. Chinese & Thai Food,New Delhi,Chinese,300,0.0,0
Pak Afghan Restaurant,New Delhi,Afghani,300,0.0,0
Pakeeza Restaurants,New Delhi,Mughlai,500,0.0,0
Radhe Shyam Chole Bhature,New Delhi,Street Food,100,0.0,0
Sanjha Chulha,New Delhi,"North Indian, Mughlai",700,0.0,1
Sardar A Pure Meat Shop,New Delhi,"Raw Meats, Fast Food",300,0.0,3
Shahi Muradabadi & Hyderabadi,New Delhi,Mughlai,200,0.0,0
Shankar Chinese Foods,New Delhi,"Chinese, Fast Food",200,0.0,0
Shri Ram Sweets,New Delhi,"South Indian, Street Food, Chinese",300,0.0,2
Subhash Punjabi Family Dhaba,New Delhi,North Indian,350,0.0,1
Tandoori Nature,New Delhi,North Indian,400,0.0,0
Tinker Koch,New Delhi,North Indian,300,0.0,0
Wakhra Swag,New Delhi,"South Indian, Chinese, Fast Food",200,0.0,0
Chawla'Sњ_,New Delhi,"North Indian, Mughlai",800,2.3,126
Barbeque Nation,New Delhi,"North Indian, Chinese",1600,4.0,744
Novelty Dairy & Stores,New Delhi,Fast Food,200,4.1,352
Caara Cafe,New Delhi,"Cafe, European",600,3.3,59
Cafe Coffee Day - The Lounge,New Delhi,Cafe,750,3.3,81
Cafe Coffee Day,New Delhi,Cafe,450,3.1,34
Costa Coffee,New Delhi,Cafe,600,3.4,31
Gulnar - Hotel Janpath,New Delhi,"North Indian, Chinese",2000,3.2,40
Kalpana Restaurant,New Delhi,"North Indian, Chinese, Mughlai",500,3.2,40
Meenas,New Delhi,"North Indian, Chinese",550,2.9,7
Pizza Hut,New Delhi,"Italian, Pizza, Fast Food",1000,3.4,116
Prince Chaat Corner,New Delhi,Street Food,150,3.2,12
Rajeev Restaurant,New Delhi,North Indian,200,3.0,5
Rsvp,New Delhi,Finger Food,3000,2.7,16
Samridhi,New Delhi,"Kerala, South Indian",350,3.2,85
Shan E Dilli,New Delhi,North Indian,400,3.0,7
The Zest,New Delhi,"North Indian, Continental",1100,3.2,11
Masala Library,New Delhi,Modern Indian,5000,4.9,408
Bhogal Chole Bhature Wala,New Delhi,Street Food,150,3.8,47
Bunta Bar,New Delhi,"Modern Indian, North Indian",1200,3.9,450
Cafe Coffee Day The Square,New Delhi,Cafe,700,3.7,49
Cottage Cafн© By Smoothie Factory,New Delhi,"Cafe, Desserts, Healthy Food, Juices",650,3.7,223
Depaul'S,New Delhi,Fast Food,200,3.7,475
Fresc Co,New Delhi,"Italian, Mediterranean",1900,3.8,1347
Informal,New Delhi,"North Indian, Spanish, Mediterranean",1200,3.9,555
Lutyens Cocktail House,New Delhi,"North Indian, Lebanese, European, Mexican",2100,3.9,299
Mcdonald'S,New Delhi,"Fast Food, Burger",500,3.8,158
Office Office,New Delhi,"North Indian, Continental",1200,3.9,291
Pappu Chat Bhandar,New Delhi,Street Food,150,3.5,19
The Beer Cafe,New Delhi,"Finger Food, North Indian",1250,3.6,1058
The Masala Trail,New Delhi,"North Indian, South Indian, Street Food",800,3.9,303
Chill House Kafe,New Delhi,Cafe,250,0.0,1
Connoisseur,New Delhi,Bakery,400,0.0,0
Pind Balluchi,New Delhi,"North Indian, Mughlai",1000,0.0,3
Queen'S Way,New Delhi,"North Indian, Mughlai",500,0.0,2
Sea Lord,New Delhi,"North Indian, South Indian",250,0.0,3
52 Janpath,New Delhi,"American, Italian, North Indian, European, Thai",1550,4.2,361
Cafe Southall,New Delhi,"North Indian, Italian, Continental, Asian",1350,4.2,162
Saravana Bhavan,New Delhi,South Indian,500,4.2,1869
Tourist Janpath,New Delhi,"North Indian, American, Chinese",2000,4.1,501
Cafe Coffee Day,New Delhi,Cafe,450,3.1,23
Cafe Punjabi,New Delhi,North Indian,300,3.3,33
Chai Garam,New Delhi,"Beverages, Fast Food",300,2.9,6
Chai Shots,New Delhi,"Beverages, Fast Food",200,3.0,15
Chao Cart,New Delhi,Chinese,400,3.1,4
Deli Belly,New Delhi,"North Indian, Italian, Continental",1000,2.6,49
Ego,New Delhi,"Continental, Italian",800,3.3,14
Fresh N Refresh,New Delhi,Fast Food,500,2.8,22
Jack Po!Tato'S,New Delhi,Fast Food,150,3.3,15
Moti Mahal Delux,New Delhi,"North Indian, Mughlai",950,2.8,26
Pizza Hut Delivery,New Delhi,"Italian, Pizza, Fast Food",800,2.5,47
Riviera,New Delhi,"Continental, North Indian, Chinese, Mughlai, Asian",1000,3.2,8
Subway,New Delhi,"American, Fast Food, Salad, Healthy Food",500,2.8,67
Tamura,New Delhi,Japanese,1500,3.3,19
Anf Kitchen Express,New Delhi,"North Indian, Fast Food",450,3.5,49
Mumu Dahlin,New Delhi,"Continental, North Indian, Chinese, Cafe",1000,3.8,92
Startup Cafe,New Delhi,Cafe,500,3.7,78
Starvin' Marvin,New Delhi,"Italian, Mexican, Lebanese, Continental",600,3.8,170
Wok On Wheels,New Delhi,Chinese,550,3.8,80
Chai Mantra,New Delhi,"Fast Food, Beverages",200,0.0,3
Sagar Ratna,New Delhi,"South Indian, North Indian, Chinese",600,2.4,76
Paatra - Jaypee Siddharth,New Delhi,North Indian,3500,3.4,120
Eggspectation - Jaypee Siddharth,New Delhi,"European, Continental, North Indian",3000,3.5,202
Ano Tai - Jaypee Vasant Continental,New Delhi,Chinese,2500,3.4,64
Tapas - Jaypee Vasant Continental,New Delhi,North Indian,3000,3.2,24
The Old Baker - Jaypee Vasant Continental,New Delhi,Bakery,500,3.3,17
Eggspectation - Jaypee Vasant Continental,New Delhi,"European, Continental, North Indian",3000,3.6,162
Paatra - Jaypee Vasant Continental,New Delhi,"North Indian, Mughlai",2500,3.5,79
Ambarsaria By Gourmet Affaire'S,New Delhi,Fast Food,400,3.1,43
August Moon,New Delhi,"Chinese, Thai",1250,2.8,142
Keventers,New Delhi,Beverages,400,3.3,10
Moets Curry Leaf Express,New Delhi,"North Indian, Mughlai",900,3.2,23
Natural Ice Cream,New Delhi,Ice Cream,150,4.5,665
"34, Chowringhee Lane",New Delhi,Fast Food,300,3.2,15
Qureshi,New Delhi,"North Indian, Fast Food",350,3.0,27
Shree Ram Sweet Centre,New Delhi,"Mithai, Street Food",150,2.7,13
Teflas,New Delhi,"North Indian, Chinese",300,3.4,53
The Viraj Food Zone,New Delhi,"North Indian, Chinese",500,3.2,29
Rollsking,New Delhi,Fast Food,300,3.5,14
Secular House Canteen,New Delhi,"North Indian, Mughlai, Chinese",600,3.8,414
Amul Ice-Cream Parlour,New Delhi,Ice Cream,200,0.0,1
Sunny Restaurant & Tiffin,New Delhi,North Indian,400,0.0,0
Kerala Cafe,New Delhi,"North Indian, South Indian",150,2.3,44
Veer Jee Restaurant,New Delhi,"North Indian, Mughlai",450,3.1,35
Oval Bar - Jw Marriott New Delhi,New Delhi,Finger Food,4500,3.3,15
Bakey Wish,New Delhi,"Bakery, Desserts",300,3.0,6
Bikaner Namkeen Bhandar,New Delhi,"Mithai, Street Food",150,3.1,9
Chhole Bhature Corner,New Delhi,North Indian,150,3.3,21
Fresh N Frozen,New Delhi,"Raw Meats, Fast Food",200,3.1,9
Sanjha Chulha,New Delhi,"North Indian, Mughlai",700,3.1,13
Shaan E Punjab,New Delhi,"North Indian, Mughlai",600,3.1,21
Cafe 27,New Delhi,"North Indian, Chinese, Italian",1550,3.6,455
Mr.D - Deliciousness Delivered,New Delhi,"North Indian, Italian, Chinese",700,3.5,367
Pita Pit,New Delhi,"Healthy Food, Salad",600,3.8,540
Al-Malik Chicken Point,New Delhi,"North Indian, Mughlai",400,0.0,1
Amul Sweets & Bakery,New Delhi,"North Indian, South Indian, Chinese, Fast Food, Bakery, Mithai",300,0.0,0
Elements - Mapple Express,New Delhi,"North Indian, Continental, Chinese",1200,0.0,0
Food 24,New Delhi,"North Indian, Mughlai",400,0.0,1
Food Corner,New Delhi,North Indian,100,0.0,0
Habibi Express,New Delhi,"Lebanese, Arabian, Moroccan",900,0.0,0
Hide Out Cafe,New Delhi,"Cafe, Chinese, Italian",700,0.0,1
Moriarty Delivers,New Delhi,Fast Food,400,0.0,0
Big Chill,New Delhi,"Italian, Continental, European, Cafe",1500,4.4,1521
Maxims Pastry Shop,New Delhi,"Bakery, Desserts, Fast Food, Beverages",300,4.2,729
Uncultured Cafe & Bar,New Delhi,"Continental, Chinese, Italian, Finger Food",1500,4.3,90
2 Nice 2 Slice,New Delhi,"Bakery, Desserts",1750,3.2,17
Aggarwal Bikaneri Sweets,New Delhi,"Mithai, Street Food",250,2.9,11
Aggarwal Sweet Corner & Restaurant,New Delhi,"North Indian, South Indian, Chinese, Mithai",300,2.6,38
Aggarwal Sweets India,New Delhi,"Mithai, Street Food",100,2.8,9
Aggarwal'S Sweets Paradise,New Delhi,"Mithai, North Indian, South Indian, Street Food",300,2.7,16
Aggarwal'S Sweets,New Delhi,"Mithai, Street Food",150,2.9,7
Anna Ka Dosa,New Delhi,South Indian,200,3.4,41
Big Chow Xpress,New Delhi,"Chinese, North Indian",550,2.6,58
Bikaner Sweets & Namkeen,New Delhi,"Mithai, Street Food",200,2.9,4
Cafe Coffee Day,New Delhi,Cafe,450,2.9,33
Cake Plaza,New Delhi,"Bakery, Desserts, Fast Food",200,3.1,28
Crispy Tokri,New Delhi,Street Food,200,3.1,100
De Royale Food'S,New Delhi,"North Indian, Chinese",550,3.2,22
Faasos,New Delhi,"North Indian, Fast Food",600,3.0,4
Fouji Da Vaishno Dhaba,New Delhi,North Indian,400,2.9,14
Fun Bytes,New Delhi,Fast Food,250,2.5,13
G'S Patisserie,New Delhi,"Bakery, Desserts",600,2.8,8
Giani,New Delhi,"Ice Cream, Desserts",400,3.2,17
Gopals 56,New Delhi,"Ice Cream, Desserts",200,3.2,8
Green Chick Chop,New Delhi,"Raw Meats, North Indian, Fast Food",350,3.2,26
Heaven'S Kitchen,New Delhi,"North Indian, Mughlai, Chinese",500,3.3,85
Heavens Food Corner,New Delhi,"North Indian, Mughlai, Chinese",500,2.8,14
Just Kababs,New Delhi,"Fast Food, North Indian",250,3.4,25
Keventers,New Delhi,Beverages,400,3.2,10
Komal Kitchen,New Delhi,North Indian,250,2.8,7
Kwality Sweets & Restaurant,New Delhi,South Indian,250,2.9,10
Mehak Food Corner,New Delhi,North Indian,350,3.2,87
Mr. Sub,New Delhi,Fast Food,400,3.2,57
Muradabadi Shahi Biryani & Chicken Corner,New Delhi,"North Indian, Biryani",450,2.6,24
Muradabadi,New Delhi,"Mughlai, Biryani",400,3.0,5
New Radhe Radhe Snacks Corner,New Delhi,North Indian,150,3.1,9
Nirula'S Ice Cream,New Delhi,"Desserts, Ice Cream",250,3.2,14
Noor Restaurant,New Delhi,"North Indian, Mughlai, Chinese",550,3.4,20
Paul'S Homemade,New Delhi,"Bakery, Desserts",500,3.1,11
Pinkom'S Bar-Be-Que,New Delhi,"North Indian, Mughlai",350,3.2,12
Prince Of China,New Delhi,"Thai, Chinese, Seafood",800,3.1,70
Punjabi Corner,New Delhi,North Indian,250,3.3,55
Punjabi Snacks,New Delhi,"Street Food, North Indian, South Indian",200,2.9,4
Quality Food Point,New Delhi,"North Indian, Fast Food, Mughlai",450,3.0,10
Radhe Shyam,New Delhi,Street Food,150,2.8,10
Raj South Indian Food,New Delhi,"South Indian, Chinese",250,3.0,8
Roll Club,New Delhi,Fast Food,250,3.3,91
Shameem Kabab Corner,New Delhi,"North Indian, Mughlai",700,3.3,67
Shiv Dhaba,New Delhi,"North Indian, Chinese",550,3.1,92
Silver Spoons,New Delhi,"North Indian, Street Food",350,2.7,6
Takkar Dhaba,New Delhi,North Indian,450,2.6,24
The Biryani Wallas,New Delhi,Biryani,650,3.2,26
The Tuck Shop,New Delhi,Fast Food,700,3.3,17
Uncle Xpress,New Delhi,Chinese,400,3.4,80
Vaishno Rasoi,New Delhi,North Indian,350,2.6,23
Vatika,New Delhi,"North Indian, Mughlai",550,2.7,52
Walk To Italy,New Delhi,Fast Food,300,3.1,11
Behrouz Biryani,New Delhi,Biryani,600,3.6,30
Big Dragon,New Delhi,"Chinese, Thai",800,3.6,108
Cafe Filter,New Delhi,"Fast Food, Italian, North Indian, Chinese",600,3.6,22
Chowki,New Delhi,North Indian,750,3.7,89
Circle Cafe And Bar,New Delhi,"Cafe, North Indian, Lebanese, Continental",800,3.5,30
Freshmenu,New Delhi,"Italian, Chinese, Continental, Thai, Mediterranean, Lebanese",600,3.6,36
Giani'S,New Delhi,"Ice Cream, Desserts",400,3.5,80
Gopal'S 56,New Delhi,"Ice Cream, Desserts, North Indian, Street Food",200,3.8,71
Instapizza,New Delhi,"Pizza, Fast Food",900,3.8,492
Just Vada Pav,New Delhi,Street Food,150,3.6,94
Khidmat,New Delhi,"North Indian, Mughlai, Chinese",1300,3.6,372
Naivedyam,New Delhi,South Indian,500,3.8,495
New Shere Punjab Dhaba,New Delhi,North Indian,600,3.6,91
Sant Sweets,New Delhi,"Street Food, North Indian, Mithai",250,3.5,60
Tikka- Way,New Delhi,"North Indian, Chinese",850,3.5,23
Chocofairies,New Delhi,Bakery,200,0.0,3
Punjabi Rasoi,New Delhi,North Indian,350,2.4,11
Punjabi Xpress,New Delhi,"North Indian, Chinese",400,2.3,9
The Cake Factory,New Delhi,"Bakery, Fast Food",400,2.3,19
"34, Chowringhee Lane",New Delhi,Fast Food,300,3.3,86
Annapurna Restaurant,New Delhi,"North Indian, Chinese",250,2.5,56
Cafe Coffee Day,New Delhi,Cafe,450,3.3,82
Chawla'S Chic Inn,New Delhi,"North Indian, Chinese",650,3.3,26
Chennai Hot Cafe,New Delhi,South Indian,300,3.4,75
Daawat E Mezbaan,New Delhi,"Mughlai, North Indian",800,3.1,77
Dessert In Desert,New Delhi,"Cafe, Fast Food, Desserts",450,3.4,38
Domino'S Pizza,New Delhi,"Pizza, Fast Food",700,3.4,36
Filmy Cafe & Bar,New Delhi,"North Indian, Fast Food, Chinese, Continental",1200,2.9,4
Firenze,New Delhi,Cafe,500,2.8,25
Giani,New Delhi,"Ice Cream, Desserts",400,3.4,41
Gullu'S,New Delhi,"North Indian, Mughlai",550,3.1,69
Manwhar,New Delhi,"South Indian, North Indian, Chinese",650,3.2,69
Mini Shop,New Delhi,"Fast Food, Beverages",150,3.3,49
Nine 75 Lounge & Bar,New Delhi,"Chinese, North Indian, Italian, Continental, Fast Food",800,3.2,145
Pradhan Ji Multi Cuisine Restaurant,New Delhi,"North Indian, Chinese, Continental",650,3.3,41
Punjabi Chaap Corner,New Delhi,North Indian,400,2.9,15
Sagar Ratna,New Delhi,"South Indian, North Indian, Chinese",600,2.7,109
Shiva Coffee & South Indian Fast Food,New Delhi,South Indian,300,2.7,41
The Ice Cafe,New Delhi,"Cafe, Chinese, Continental, Italian, Desserts, Beverages",400,3.2,28
Tikka Junction,New Delhi,"North Indian, Chinese",750,3.4,21
Trending Eats,New Delhi,"Italian, Fast Food",800,3.4,21
Twenty Four Seven,New Delhi,"Fast Food, North Indian",300,3.3,53
Vikrant Cafe,New Delhi,"South Indian, North Indian",550,3.3,145
Vishal Restaurant,New Delhi,North Indian,600,3.1,24
Badri Prasad Ramesh Kumar Caterers,New Delhi,North Indian,200,3.5,12
Bistro,New Delhi,Beverages,150,3.9,55
Chaudhary Sweets Corner,New Delhi,"Desserts, Beverages",300,3.8,36
Chowringhee,New Delhi,"Fast Food, Beverages",250,3.6,108
Cones & Curries,New Delhi,Fast Food,250,3.7,151
Darvesh Corner,New Delhi,North Indian,550,3.6,91
Deez Biryani & Kebabs,New Delhi,"Biryani, North Indian, Mughlai",650,3.7,393
Frozen Pan,New Delhi,"Ice Cream, Fast Food, Beverages",250,3.9,72
Giani'S,New Delhi,"Ice Cream, Desserts",400,3.8,167
Havmor Ice Cream,New Delhi,Ice Cream,200,3.7,20
Keventers,New Delhi,Beverages,250,3.5,61
Manohar Bikkaneri,New Delhi,"Mithai, Chinese, Street Food",200,3.8,83
Manohar Bikkaneri,New Delhi,"Bakery, Chinese",200,3.6,62
Nukkadwala,New Delhi,"Fast Food, Street Food",300,3.7,58
Om Di Hatti,New Delhi,"Street Food, North Indian",100,3.7,116
Rigo Noodles,New Delhi,"Chinese, Thai",500,3.5,133
Sethi'S The Cake Shop,New Delhi,"Bakery, Fast Food",200,3.9,150
Shake Square,New Delhi,"Beverages, Fast Food",400,3.6,261
Sharma Kachoriwala,New Delhi,Street Food,50,3.7,131
Shawarma Wala,New Delhi,Fast Food,300,3.7,234
Shree Rathnam,New Delhi,"South Indian, North Indian, Chinese",800,3.5,85
Shri Bankey Bihari Brajwasi Rasgulle Wala,New Delhi,"Mithai, Street Food",150,3.5,36
Sid'S Kitchen,New Delhi,"North Indian, Chinese",500,3.8,115
Subway,New Delhi,"American, Fast Food, Salad, Healthy Food",500,3.5,143
Sweet Life By Henna,New Delhi,"Bakery, Desserts",400,3.5,47
The Midnight Heroes,New Delhi,"North Indian, Biryani, Chinese, Fast Food",950,3.8,41
Urban Hub,New Delhi,"Chinese, North Indian, Italian, Fast Food",1900,3.6,346
Vaishno Chat Bhandar,New Delhi,Street Food,150,3.9,223
Ved Dhaba,New Delhi,North Indian,300,3.5,97
Veg Ex,New Delhi,North Indian,500,3.6,24
Wokin Street,New Delhi,Chinese,300,3.6,25
Yadav Namkeens & Bakers,New Delhi,Bakery,100,3.5,15
Javed Chicken Corner,New Delhi,Mughlai,400,0.0,0
Kamal Chicken,New Delhi,"Mughlai, North Indian",500,0.0,0
Singh Chinese Fast Food,New Delhi,Chinese,200,0.0,0
Chill'M Bar & Cafe,New Delhi,"North Indian, Italian, Chinese, Fast Food",600,4.2,300
